(Synset(kitchen_utensil.n.01), [14, 2])
(Synset(procedure.n.01), [14, 2])
(Synset(approve.v.01), [14, 2])
(Synset(covering.n.01), [14, 2])
(Synset(record.v.01), [14, 2])
(Synset(associate.n.01), [14, 2])
(Synset(reduce.v.01), [14, 2])
(Synset(note.v.01), [14, 2])
(Synset(bovid.n.01), [14, 2])
(Synset(literary_composition.n.01), [14, 2])
(Synset(young.n.01), [13, 2])
(Synset(furniture.n.01), [13, 2])
(Synset(award.n.02), [13, 2])
(Synset(alcohol.n.01), [13, 2])
(Synset(attack.n.01), [13, 2])
(Synset(agreement.n.01), [13, 2])
(Synset(gamble.v.02), [13, 2])
(Synset(appliance.n.02), [12, 2])
(Synset(animal_product.n.01), [12, 2])
(Synset(associate.v.01), [12, 2])
(Synset(medium.n.01), [12, 2])
(Synset(develop.v.12), [12, 2])
(Synset(penal_institution.n.01), [12, 2])
(Synset(expressive_style.n.01), [12, 2])
(Synset(disputant.n.01), [12, 2])
(Synset(show.n.01), [12, 2])
(Synset(establishment.n.04), [12, 2])
(Synset(killing.n.02), [11, 2])
(Synset(entertainer.n.01), [11, 2])
(Synset(dimension.n.01), [11, 2])
(Synset(demeanor.n.01), [11, 2])
(Synset(dog.n.01), [11, 2])
(Synset(life_science.n.01), [11, 2])
(Synset(genitor.n.01), [11, 2])
(Synset(care.v.02), [11, 2])
(Synset(removal.n.01), [11, 2])
(Synset(departure.n.01), [11, 2])
(Synset(authorization.n.04), [11, 2])
(Synset(male_aristocrat.n.01), [11, 2])
(Synset(ordering.n.01), [11, 2])
(Synset(user.n.01), [11, 2])
(Synset(consideration.n.01), [11, 2])
(Synset(due_process.n.01), [11, 2])
(Synset(weaponry.n.01), [11, 2])
(Synset(expect.v.01), [11, 2])
(Synset(district.n.01), [11, 2])
(Synset(ruminant.n.01), [11, 2])
(Synset(feline.n.01), [11, 2])
(Synset(identification.n.02), [10, 2])
(Synset(deny.v.04), [10, 2])
(Synset(grouping.n.02), [10, 2])
(Synset(natural_elevation.n.01), [10, 2])
(Synset(furnishing.n.02), [10, 2])
(Synset(rocket.n.01), [10, 2])
(Synset(liquid_body_substance.n.01), [10, 2])
(Synset(aristocrat.n.01), [10, 2])
(Synset(demonstration.n.05), [10, 2])
(Synset(industry.n.02), [10, 2])
(Synset(framework.n.03), [10, 2])
(Synset(movement.n.11), [10, 2])
(Synset(angiospermous_tree.n.01), [10, 2])
(Synset(card.n.01), [10, 2])
(Synset(direction.n.02), [10, 2])
(Synset(controlled_substance.n.01), [10, 2])
(Synset(sino-tibetan.n.01), [10, 2])
(Synset(determinant.n.01), [10, 2])
(Synset(grasping.n.02), [10, 2])
(Synset(passerine.n.01), [9, 2])
(Synset(currency.n.01), [9, 2])
(Synset(organic_compound.n.01), [9, 2])
(Synset(discovery.n.01), [9, 2])
(Synset(appearance.n.04), [9, 2])
(Synset(care.n.01), [9, 2])
(Synset(temporal_property.n.01), [9, 2])
(Synset(lepidopterous_insect.n.01), [9, 2])
(Synset(integrate.v.03), [9, 2])
